sample,class,cluster_0,cluster_1,cluster_2
VN_MD_BS_2-18__20250415_raw_vnir,MD,37.858830139555494,44.09352236172057,18.04764749872394
VN_MD_BS_2-19_20250416_raw_vnir,MD,21.053914183932086,52.489233114155574,26.456852701912343
VN_MD_BS_2-19_20250417_raw_vnir,MD,23.872589840497085,52.69121132534751,23.4361988341554
VN_MD_BS_2-19_20250418_raw_vnir,MD,31.983490868950966,50.720104969748306,17.296404161300735
VN_MD_BS_2-19__20250414_corr_vnir,MD,87.38203897826992,11.593171866496402,1.024789155233681
VN_MD_BS_2-19__20250415_raw_vnir,MD,28.80747647289126,48.218609979264244,22.973913547844496
VN_MD_BS_2-1_20250416_raw_vnir,MD,33.897020007156804,41.6086505178052,24.494329475037997
VN_MD_BS_2-1_20250417_raw_vnir,MD,35.9711583905882,40.975083880493244,23.053757728918555
VN_MD_BS_2-1_20250418_raw_vnir,MD,48.42614294865386,38.13840166772196,13.435455383624184
VN_MD_BS_2-1__20250414_corr_vnir,MD,82.60852912912077,15.222977395857995,2.168493475021239
VN_MD_BS_2-1__20250415_raw_vnir,MD,42.793403719623306,39.02474648416309,18.181849796213605
VN_MD_BS_2-20_20250416_raw_vnir,MD,28.56096082245688,50.02101520161575,21.418023975927365
VN_MD_BS_2-20_20250417_raw_vnir,MD,18.790284604291138,56.52684168702358,24.68287370868529
VN_MD_BS_2-20_20250418_raw_vnir,MD,23.369869457059288,53.08503343899991,23.5450971039408
VN_MD_BS_2-20__20250414_corr_vnir,MD,80.09190749767873,18.436992223769728,1.471100278551532
VN_MD_BS_2-20__20250415_raw_vnir,MD,25.809139048662466,47.90202075534861,26.28884019598892
VN_MD_BS_2-2_20250416_raw_vnir,MD,21.6379188972944,47.98445113680459,30.377629965901015
VN_MD_BS_2-2_20250417_raw_vnir,MD,24.145274299591698,51.99615950671588,23.858566193692422
VN_MD_BS_2-2_20250418_raw_vnir,MD,45.30839559619,42.7446919155329,11.9469124882771
VN_MD_BS_2-2__20250414_corr_vnir,MD,73.60016151346056,24.154536608614492,2.245301877924949
VN_MD_BS_2-2__20250415_raw_vnir,MD,26.89969707396388,48.74882776394708,24.35147516208904
VN_MD_BS_2-3_20250416_raw_vnir,MD,23.980724893198616,48.215738794331045,27.803536312470335
VN_MD_BS_2-3_20250417_raw_vnir,MD,21.446652763391967,53.83818631936348,24.71516091724455
VN_MD_BS_2-3_20250418_raw_vnir,MD,30.979259330883774,51.34322826016889,17.677512408947337
VN_MD_BS_2-3__20250414_corr_vnir,MD,81.25903175710305,17.176041710821924,1.564926532075021
VN_MD_BS_2-3__20250415_raw_vnir,MD,27.867015315651848,46.01063735169077,26.12234733265738
VN_MD_BS_2-4_20250416_raw_vnir,MD,21.10699709681491,52.44176098511942,26.451241918065666
VN_MD_BS_2-4_20250417_raw_vnir,MD,20.921000250652433,56.484157291774174,22.59484245757339
VN_MD_BS_2-4_20250418_raw_vnir,MD,34.130747551193366,52.36445337905753,13.504799069749108
VN_MD_BS_2-4__20250414_corr_vnir,MD,79.03296780051687,20.233289096877836,0.7337431026052944
VN_MD_BS_2-4__20250415_raw_vnir,MD,24.84157986111111,44.25202546296296,30.906394675925924
VN_MD_BS_2-5_20250416_raw_vnir,MD,43.188003902839824,37.67370204899091,19.13829404816926
VN_MD_BS_2-5_20250417_raw_vnir,MD,46.606625150872354,38.52628286611357,14.867091983014078
VN_MD_BS_2-5_20250418_raw_vnir,MD,48.42614294865386,38.13840166772196,13.435455383624184
VN_MD_BS_2-5__20250414_corr_vnir,MD,86.60620275500499,11.83403164552366,1.5597655994713644
VN_MD_BS_2-5__20250415_raw_vnir,MD,33.976808017528455,41.77127579633453,24.251916186137016
VN_MD_BS_2-6_20250416_raw_vnir,MD,27.29319011914782,43.65034014656031,29.056469734291866
VN_MD_BS_2-6_20250417_raw_vnir,MD,36.50261256445188,46.39414371691183,17.103243718636293
VN_MD_BS_2-6_20250418_raw_vnir,MD,45.30839559619,42.7446919155329,11.9469124882771
VN_MD_BS_2-6__20250414_corr_vnir,MD,74.58042524952019,22.09012514658251,3.329449603897303
VN_MD_BS_2-6__20250415_raw_vnir,MD,25.210856423275796,47.34804773068685,27.441095846037356
VN_MD_BS_2-7_20250416_raw_vnir,MD,28.068225589009437,46.298629389484496,25.633145021506067
VN_MD_BS_2-7_20250417_raw_vnir,MD,35.72521693195678,48.92097229019553,15.353810777847693
VN_MD_BS_2-7_20250418_raw_vnir,MD,30.979259330883774,51.34322826016889,17.677512408947337
VN_MD_BS_2-7__20250414_corr_vnir,MD,76.84372299281634,20.555375236099,2.600901771084667
VN_MD_BS_2-7__20250415_raw_vnir,MD,19.157116976900838,49.95376820507671,30.88911481802245
VN_MD_BS_2-8_20250416_raw_vnir,MD,28.41216890485559,45.03138352253056,26.556447572613855
VN_MD_BS_2-8_20250417_raw_vnir,MD,37.22871208186733,42.861479492937555,19.909808425195124
VN_MD_BS_2-8_20250418_raw_vnir,MD,34.130747551193366,52.36445337905753,13.504799069749108
VN_MD_BS_2-8__20250414_corr_vnir,MD,73.4974265904805,23.610146181003557,2.89242722851593
VN_MD_BS_2-8__20250415_raw_vnir,MD,21.725825304747453,50.60005662966378,27.674118065588765
VN_MD_BS_2-9_20250416_raw_vnir,MD,45.15357393866907,35.055054808202115,19.791371253128816
VN_MD_BS_2-9_20250417_raw_vnir,MD,30.776689684183506,44.68559165237727,24.53771866343922
VN_MD_BS_2-9_20250418_raw_vnir,MD,34.80447796889414,44.53901139991572,20.656510631190137
VN_MD_BS_2-9__20250414_corr_vnir,MD,86.60620275500499,11.83403164552366,1.5597655994713644
VN_MD_BS_3-10_20250416_raw_vnir,MD,33.63611448259661,41.75726174473287,24.60662377267052
VN_MD_BS_3-10_20250417_raw_vnir,MD,33.22292101384775,32.854717816268064,33.92236116988419
VN_MD_BS_3-10_20250418_raw_vnir,MD,40.26382529512988,43.034677492029026,16.701497212841097
VN_MD_BS_3-10__20250414_corr_vnir,MD,79.64056185110273,17.931903407072863,2.4275347418244086
VN_MD_BS_3-10__20250415_raw_vnir,MD,34.8547782332485,41.581411613855806,23.56381015289569
VN_MD_BS_3-11_20250416_raw_vnir,MD,40.09413959799847,36.75614168998954,23.149718712011985
VN_MD_BS_3-11_20250417_raw_vnir,MD,29.534548305216973,47.09392374522884,23.371527949554185
VN_MD_BS_3-11_20250418_raw_vnir,MD,30.45370608855847,46.781973990369714,22.764319921071817
VN_MD_BS_3-11__20250414_corr_vnir,MD,79.54373139450435,17.493355892704653,2.9629127127910038
VN_MD_BS_3-11__20250415_raw_vnir,MD,36.185385817450836,37.71306484966816,26.101549332881007
VN_MD_BS_3-12_20250416_raw_vnir,MD,33.147474865346815,40.99473785933346,25.857787275319723
VN_MD_BS_3-12_20250417_raw_vnir,MD,17.55189785459915,48.19732765858884,34.250774486812006
VN_MD_BS_3-12_20250418_raw_vnir,MD,41.52613887785783,46.07775004254837,12.396111079593805
VN_MD_BS_3-12__20250414_corr_vnir,MD,72.1477532050881,24.26772133151437,3.584525463397539
VN_MD_BS_3-12__20250415_raw_vnir,MD,28.515451134990784,45.65595790678451,25.828590958224705
VN_MD_BS_3-13_20250416_raw_vnir,MD,30.120261323021037,46.32807464697955,23.551664029999415
VN_MD_BS_3-13_20250417_raw_vnir,MD,28.497390195189904,46.11550274407129,25.3871070607388
VN_MD_BS_3-13_20250418_raw_vnir,MD,32.986566591001555,46.81921361515736,20.194219793841086
VN_MD_BS_3-13__20250414_corr_vnir,MD,82.98273155416013,14.773547880690737,2.2437205651491365
VN_MD_BS_3-13__20250415_raw_vnir,MD,31.068052403692203,47.008088880226104,21.923858716081696
VN_MD_BS_3-14_20250416_raw_vnir,MD,30.90580624398878,48.4726473503092,20.62154640570202
VN_MD_BS_3-14_20250417_raw_vnir,MD,17.9646750198172,44.883220853387755,37.152104126795045
VN_MD_BS_3-14_20250418_raw_vnir,MD,25.997532337128693,51.725326150186554,22.27714151268475
VN_MD_BS_3-14__20250414_corr_vnir,MD,80.92883196199847,17.692340317244888,1.3788277207566375
VN_MD_BS_3-14__20250415_raw_vnir,MD,35.065283559889906,45.38721622927065,19.54750021083945
VN_MD_BS_3-15_20250416_raw_vnir,MD,29.870322469391276,40.76082083117779,29.368856699430935
VN_MD_BS_3-15_20250417_raw_vnir,MD,21.213226045202475,50.49056246057817,28.29621149421935
VN_MD_BS_3-15_20250418_raw_vnir,MD,35.325037384371456,46.39193850176965,18.283024113858897
VN_MD_BS_3-15__20250414_corr_vnir,MD,78.9822579015675,19.80656993868368,1.2111721597488285
VN_MD_BS_3-15__20250415_raw_vnir,MD,26.43973673385438,43.18085407239819,30.37940919374743
VN_MD_BS_3-16_20250416_raw_vnir,MD,25.841834832414236,50.47351544828614,23.684649719299617
VN_MD_BS_3-16_20250417_raw_vnir,MD,18.0721781451658,47.694702307107576,34.23311954772662
VN_MD_BS_3-16_20250418_raw_vnir,MD,41.2105817216316,47.69140118349148,11.098017094876926
