sample,class,cluster_0,cluster_1,cluster_2
SW_MD_2-15_20250418_raw_swir,MD,47.363945578231295,34.048313202832155,18.587741218936554
SW_MD_2-16_20250414_raw_swir,MD,30.109031389424217,46.416220069167615,23.474748541408168
SW_MD_2-16_20250415_raw_swir,MD,38.67768595041322,43.573396300669025,17.74891774891775
SW_MD_2-16_20250416_raw_swir,MD,31.02464763625128,43.034725358305806,25.940627005442924
SW_MD_2-16_20250417_raw_swir,MD,38.4323548724434,40.50682166395097,21.060823463605633
SW_MD_2-16_20250418_raw_swir,MD,47.795567473775534,36.091174382837764,16.1132581433867
SW_MD_2-17_20250414_raw_swir,MD,32.48578185158403,50.59120136025172,16.923016788164247
SW_MD_2-17_20250415_raw_swir,MD,55.61608811092537,40.151440652964894,4.232471236109745
SW_MD_2-17_20250416_raw_swir,MD,38.155726172770024,46.16915222896652,15.675121598263456
SW_MD_2-17_20250417_raw_swir,MD,46.41954022988506,40.90421455938697,12.676245210727968
SW_MD_2-17_20250418_raw_swir,MD,43.52130782662087,40.73143120287047,15.747260970508664
SW_MD_2-18_20250414_raw_swir,MD,32.932631042392316,44.790162263189195,22.277206694418485
SW_MD_2-18_20250415_raw_swir,MD,31.012698615276623,49.67774870780423,19.30955267691915
SW_MD_2-18_20250416_raw_swir,MD,29.65529782591126,48.00169724399903,22.34300493008971
SW_MD_2-18_20250417_raw_swir,MD,47.141806512001075,40.62980544226784,12.228388045731096
SW_MD_2-18_20250418_raw_swir,MD,36.00956104430321,47.634753284292835,16.355685671403954
SW_MD_2-19_20250414_raw_swir,MD,27.78520228404811,51.71303608310047,20.501761632851416
SW_MD_2-19_20250415_raw_swir,MD,38.41735434337246,50.18476325413085,11.397882402496698
SW_MD_2-19_20250416_raw_swir,MD,25.506693664117634,52.367846822229644,22.125459513652714
SW_MD_2-19_20250417_raw_swir,MD,32.29155081006933,50.960219478738,16.748229711192675
SW_MD_2-19_20250418_raw_swir,MD,35.82511088983434,42.90214537883588,21.272743731329776
SW_MD_2-1_20250414_raw_swir,MD,41.08851017042331,41.38720908924318,17.524280740333516
SW_MD_2-1_20250415_raw_swir,MD,46.13712258244051,42.05336023375539,11.809517183804092
SW_MD_2-1_20250416_raw_swir,MD,41.23048668503214,38.32319767139664,20.446315643571218
SW_MD_2-1_20250417_raw_swir,MD,30.22045315370484,50.77086560282411,19.008681243471056
SW_MD_2-1_20250418_raw_swir,MD,47.22387615361715,36.037511164036914,16.738612682345934
SW_MD_2-20_20250414_raw_swir,MD,22.210760196794162,48.17687668624028,29.61236311696556
SW_MD_2-20_20250415_raw_swir,MD,22.18622341174813,49.522065482059844,28.291711106192018
SW_MD_2-20_20250416_raw_swir,MD,23.289770166741775,45.4763406940063,31.233889139251914
